證券代碼	年月日	當日均價(元)	當日成交量
0050 元大台灣50	20190822	81.3524	9379.4
006208 富邦台50	20190822	46.0264	129.133
0050 元大台灣50	20190823	80.9408	3211.04
006208 富邦台50	20190823	45.9398	96.555
006208 富邦台50	20190826	45.3383	858.114
0050 元大台灣50	20190826	79.7715	12292.3
006208 富邦台50	20190827	45.4067	357.486
0050 元大台灣50	20190827	79.9685	2535.86
0050 元大台灣50	20190828	80.3798	3318.19
006208 富邦台50	20190828	45.6217	612.584
0050 元大台灣50	20190829	80.2481	3233.65
006208 富邦台50	20190829	45.603	622.676
0050 元大台灣50	20190830	81.6383	19370.9
006208 富邦台50	20190830	46.2334	743.419
0050 元大台灣50	20190902	81.8553	6457.87
006208 富邦台50	20190902	46.3648	656.9
006208 富邦台50	20190903	46.2571	783.311
0050 元大台灣50	20190903	81.8028	5052.93
0050 元大台灣50	20190904	82.0127	10748.8
006208 富邦台50	20190904	46.3919	665.731
0050 元大台灣50	20190905	82.9888	25429.4
006208 富邦台50	20190905	46.8377	749.827
0050 元大台灣50	20190906	83.4527	17226.3
006208 富邦台50	20190906	47.1181	843.571
0050 元大台灣50	20190909	83.7957	12633.3
006208 富邦台50	20190909	47.2665	635.051
0050 元大台灣50	20190910	83.4836	5171.85
006208 富邦台50	20190910	47.0592	668.481
006208 富邦台50	20190911	47.1208	610.063
0050 元大台灣50	20190911	83.5349	4746.2
006208 富邦台50	20190912	47.3369	633.921
0050 元大台灣50	20190912	84.0266	9281.12
006208 富邦台50	20190916	47.5016	808.438
0050 元大台灣50	20190916	84.2221	10929.8
0050 元大台灣50	20190917	84.2996	4966.78
006208 富邦台50	20190917	47.5198	611.194
0050 元大台灣50	20190918	84.858	16999.5
006208 富邦台50	20190918	47.7529	805.711
006208 富邦台50	20190919	47.6462	637.902
0050 元大台灣50	20190919	84.7314	7777.36
006208 富邦台50	20190920	47.6846	756.348
0050 元大台灣50	20190920	84.7778	8231.7
006208 富邦台50	20190923	47.7177	807.904
0050 元大台灣50	20190923	84.6192	4369.84
006208 富邦台50	20190924	47.6899	643.777
0050 元大台灣50	20190924	84.6258	4852.01
006208 富邦台50	20190925	47.4061	687.076
0050 元大台灣50	20190925	84.0508	3927.67
0050 元大台灣50	20190926	84.4573	5194.69
006208 富邦台50	20190926	47.6774	682.252
0050 元大台灣50	20190927	84.6933	8884.69
006208 富邦台50	20190927	47.7716	680.169
0050 元大台灣50	20191001	85.6414	9595.91
006208 富邦台50	20191001	48.2037	737.787
